System	nDCG'	mAP'	p@10
Baseline_TangentS_Res_Task2	0.4939	0.2744	0.4553
DPRL-task2-CFT-auto-A	0.3753	0.2096	0.3787
DPRL-task2-CFTED-auto-P	0.4018	0.2469	0.4809
DPRL-task2-CFTPlus-auto-A	0.1288	0.0447	0.1979
MIRMU-task2-Ensemble-auto-math-A	0.0946	0.0314	0.0489
MIRMU-task2-Formula2Vec-auto-math-P	0.103	0.0448	0.0723
MIRMU-task2-SCM-auto-math-P	0.1308	0.054	0.0553
Vidya-task2-method1-auto-math-A	0.0939	0.0309	0.0468
Vidya-task2-method2-auto-math-P	0.0541	0.0156	0.0447
Vidya-task2-method3-auto-math-A	0.0725	0.0264	0.0426
